sla,product_type,brand,service_type,incident_type,open_to_close_hour,response_to_resolved_hour,prediction_error
24x7 4Hrs Response Time,Server,HPE,Incident,Software,4.5,4.0,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Response Time,Server,Cisco,Incident,Fan Failure,2137.5,2016.8833333333334,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,12.066666666666666,1.65,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Response Time,Software,NetApp,Incident,General Incident,24.766666666666666,24.55,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,128.98333333333332,0.38333333333333336,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,8.9166666666666661,8.7166666666666668,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Response Time,Software,Veritas,Incident,Backup Failure,141.46666666666667,141.31666666666666,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,Veeam,Incident,Software,627.7833333333333,627.56666666666672,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,VMWare,Incident,Software,5.333333333333333,4.9333333333333336,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,VMWare,Incident,Software,3.35,3.2166666666666668,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,6.166666666666667,6.0,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,7.166666666666667,7.0,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,7.166666666666667,7.0,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,26.133333333333333,4.7,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,7.166666666666667,7.0,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,13.666666666666666,13.666666666666666,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,29.0,23.25,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,125.0,119.25,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,125.0,119.25,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,5.916666666666667,5.916666666666667,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,0.2,0.18333333333333332,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,0.15,0.13333333333333333,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,0.23333333333333334,0.21666666666666667,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,0.083333333333333329,0.066666666666666666,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,80.033333333333331,80.016666666666666,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,eUnite,Incident,Software,1.75,1.7333333333333334,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,eUnite,Incident,Software,4.3166666666666664,4.3,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,CIMCO-CMMS,Incident,Software,750.25,73.283333333333331,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Storage,YIP,Incident,General Incident,22.266666666666666,22.133333333333333,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
